title,overview,release_date,year,top_genre
The Day of the Beast,"The story revolves around a Basque Roman Catholic priest dedicated to committing as many sins as possible (Angulo), a death metal salesman from Carabanchel (Segura), and the Italian host of a TV show on the occult (De Razza). These go on a literal ""trip"" through Christmas-time Madrid to hunt for and prevent the reincarnation of the Antichrist.",1995-10-20,1995,Horror
The Orphanage,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",2007-05-20,2007,Horror
The Golem: How He Came into the World,"In the 16th century, the Jews of Prague face persecution. Rabbi Loew creates a giant golem out of clay, to protect the people. This film should not be confused with  director Paul Wegener's  with Henrik Galeen 1915 mostly lost film The Golem (Der Golem) which was his  first film to explore the myth.",1920-10-28,1920,Horror
Night of the Demon,"American professor John Holden arrives in London for a conference on parapsychology only to discover that the colleague he was supposed to meet was killed in a freak accident the day before. It turns out that the deceased had been investigating a cult lead by Dr. Julian Karswell. Though a skeptic, Holden is suspicious of the devil-worshiping Karswell. Following a trail of mysterious manuscripts, Holden enters a world that makes him question his faith in science.",1957-11-09,1957,Horror
Gamera 2: Attack of the Legion,"A strange meteor lands in Japan unleashing hundreds of insect-like ""legion"" creatures which find their way into Tokyo. When the military fails to control the situation, Gamera shows up to deal with the ever-evolving space adversary.",1996-07-12,1996,Horror
The Hound of the Baskervilles,"Sherlock Holmes comes to the aid of his friend Henry Baskerville, who is under a family curse and menaced by a demonic dog that prowls the bogs near his estate and murders people.",1983-11-03,1983,Horror
Liverleaf,"The story follows Nozaki Haruka, a middle school student who transfers to a new school in a small town because of her father's work. Unfortunately, she becomes a victim of horrific bullying, but since the school will be closing in 2 months after graduation, no one is willing to help her.",2018-04-07,2018,Horror
Impetigore,"Enticed by a promise of inheritance, a young woman returns to the village of her birth. Unbeknownst to her, the villagers hide a sinister plan -- one that may require her very own death.",2019-10-17,2019,Horror
Black Sabbath,"Three short tales of supernatural horror. In “The Telephone,” a woman is plagued by threatening phone calls. In ""The Wurdalak,” a family is preyed upon by vampiric monsters. In “The Drop of Water,” a deceased medium wreaks havoc on the living.",1963-08-17,1963,Horror
Don't,"In 2007, Wright directed a fake trailer insert for Quentin Tarantino and Robert Rodriguez's Grindhouse, called ""Don't"", it was a plotless trailer that mocked horror clichés.",2007-04-05,2007,Horror
The Golem,"In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers, is found in the rubble of an old synagogue in the 20th century. Brought to life by an antique dealer, the golem is used as a menial servant. Eventually falling in love with the dealer's wife, it goes on a murderous rampage when its love for her goes unanswered. This mostly lost film (please check your attic) is often confused with director Paul Wegener second and readily available interpretation of the legend; Der Golem, wie er in die Welt kam (1920).",1915-01-15,1915,Horror
"The Pit, the Pendulum and Hope","A short film based on Edgar Allan Poe's ""The Pit and the Pendulum"" and Auguste Villiers de l'Isle-Adam's ""A Torture by Hope"".",1983-07-28,1983,Horror
Satan's Slaves,"After the death of Rini's mother, something is disturbing her family.",2017-09-28,2017,Horror
Apartment Zero,The owner of a failing cinema and his mysterious boarder are caught up in the political intrigue of Argentina.,1989-09-02,1989,Horror
Take Shelter,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",2011-09-30,2011,Horror
Frenzy,"After a serial killer strangles several women with a necktie, London police identify a suspect—but he's the wrong man.",1972-05-25,1972,Horror
The Happiness of the Katakuris,"The Katakuri family has just opened their guest house in the mountains. Unfortunately their first guest commits suicide and in order to avoid trouble they decide to bury him in the backyard. Things get way more complicated when their second guest, a famous sumo wrestler, dies while having sex with his underage girlfriend and the grave behind the house starts to fill up more and more.",2001-10-31,2001,Horror
Ghostwatch,"For Halloween 1992, the BBC decides to broadcast an investigation into the supernatural, hosted by TV chat-show legend Michael Parkinson. Parky (ably assisted by Mike Smith, Sarah Greene &amp; Craig Charles) and a camera crew attempt to discover the truth behind the most haunted house in Britain. This ground-breaking live television experiment does not go as planned, however...",1992-10-31,1992,Horror
I Am Legend,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",2007-12-14,2007,Horror
Transylvania 6-5000,Bugs is given a room for the night at the castle of Count Bloodcount in Transylvania.,1963-11-30,1963,Horror
Mission Galactica: The Cylon Attack,"Running low on fuel, the Battlestar Galactica receives the help of the supposedly lost Battlestar Pegasus which is taking the offensive with the Cylons.",1979-01-01,1979,Horror
Kotoko,"A single mother (Cocco) becomes afflicted with double vision. Taking care of her newborn baby becomes a nightmare as the mother also becomes paranoid. The only time the mother doesn't see double is when she sings. She also finds solace in cutting herself, allowing her blood to drip free and able to feel alive. A terrifying nervous breakdown ensues. When things spiral out of control, her baby is taken away. She then rides a bus and sings to herself. A man (Shinya Tsukamoto) sitting nearby listens to her wonderful voice. He begins to stalk her. The man is an award winning novelist who has fallen in love with the woman. They begin a volatile relationship. The woman's paranoia a",2011-11-26,2011,Horror
Ghostland,"A mother of two inherits a home from her aunt. On the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. Sixteen years later the daughters reunite at the house, and that is when things get strange . . .",2018-03-15,2018,Horror
Nightmare,"Janet is a young student at a private school; her nights are troubled by horrible dreams in which she sees her mother, who is in fact locked in an insane asylum, haunting her. Expelled because of her persistent nightmares, Janet is sent home where the nightmares continue.",1964-02-28,1964,Horror
Britannia Hospital,"Britannia Hospital, an esteemed English institution, is marking its gala anniversary with a visit by the Queen Mother herself. But when investigative reporter Mick Travis arrives to cover the celebration, he finds the hospital under siege by striking workers, ruthless unions, violent demonstrators, racist aristocrats, and African cannibal dictator and sinister human experiments.",1982-05-27,1982,Horror
Thirst,"Sang-hyun, a respected priest, volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life as a vampire. Now, Sang-hyun is torn between faith and bloodlust, and has a newfound desire for Tae-ju, the wife of his childhood friend.",2009-04-30,2009,Horror
The Fall of the House of Usher,"In a decaying castle surrounded by a dank, mirrored lake live the morbidly nervous Roderick Usher and his sickly twin sister, Madeline. Their tale is told and dimly comprehended by the unnamed narrator, a boyhood friend whom Roderick has summoned. When Madeline soon dies—or seems to die—they entomb her body. On a stormy night, ""cracking and ripping"" sounds and a ""shriek"" from below convince the panicky Roderick that ""We have put her living into the tomb!"" The shrouded, emaciated figure of Madeline appears at the door of Roderick's book-strewn study, falls upon him, ""and in her violent and now final death-agonies, bore him to the floor a corpse.""",1928-12-31,1928,Horror
The Wolf Man,"After his brother's death, Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.",1941-12-12,1941,Horror
Sweeney Todd: The Demon Barber of Fleet Street,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",2007-12-20,2007,Horror
Midsommar,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",2019-07-03,2019,Horror
Climax,Young dancers gather in a remote and empty school building to rehearse on a cold and wintry night. The all-night celebration soon turns into a hallucinatory nightmare when they learn that their sangria is laced with LSD.,2018-09-19,2018,Horror
Re-Animator,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,1985-10-18,1985,Horror
Paranoiac,"Simon Ashby is a wealthy psychotic who is is coddled by his aunt in their palatial mansion outside of London. One day, Ashby's long lost brother mysteriously arrives at the house, but events prove that he is an impostor, sent by Keith Kossett, son of the attorney for the family estate, who has been dipping into the family trust fund.",1963-01-07,1963,Horror
Constantine: City of Demons - The Movie,"A decade after a tragic mistake, family man Chas and occult detective John Constantine set out to cure Chas’s daughter Trish from a mysterious supernatural coma. With the help of the mysterious Nightmare Nurse, the influential Queen of Angels, and brutal Aztec God Mictlantecuhtli, the pair just might have a chance at outsmarting the demon Beroul to save Trish’s soul. In a world of shadows and dark magic, not everything is what it seems, and there’s always a price to pay. The path to redemption is never easy, and if Constantine is to succeed, he must navigate through the dark urban underbelly of Los Angeles, outwit the most cunning spawns of hell, and come face to face with arch-nemesis Nergal – all while battling his own inner demons!",2018-10-04,2018,Horror
Ajin: Demi-Human,"Ajin is a live-action adaptation of a Japanese manga series written and illustrated by Gamon Sakurai. Kei Nagai dies in a car accident, but realises he is a type of immortal known as Ajin (demi-human). Hunted by humans, Ajin is eventually found by the government and used as a subject in cruel experiments. He finds fellow demi-humans along the way as he escapes and goes on the run.",2017-09-30,2017,Horror
2LDK,"Nozomi and Lana share an apartment in Tokyo. They have both auditioned for the same role in a movie, and know that the shortlist has been cut down to just the two of them. As they wait the night before finding out who will get the role, their personality clashes erupt into an all-out battle.",2003-04-11,2003,Horror
Abbott and Costello Meet the Invisible Man,"Boxer Tommy Nelson is accused of killing his manager. While detectives Bud and Lou investigate they come across an invisibility formula with which Tommy injects himself rather than face the police. This sparks an idea for trapping gangster Morgan by having Lou fight champ Rocky Hanlon, with Tommy's invisible help",1951-03-07,1951,Horror
Supervenus,An update of our classic human anatomy.,2014-02-01,2014,Horror
Spider Baby,"The story follows a family of inbreeds who have been afflicted by a genetic disorder known as 'Merrye syndrome', named after the family in which the disorder developed. This malady causes its victims to enter a state of age regression that starts at the age of ten and continues throughout the remainder of the person's life, rendering them with the intelligence of a child. The final generation of the family has been entrusted to the care of the family chauffeur (Lon Chaney Jr), and all is well for these odd people until a greedy branch of the family decides that they want to relieve the family of its home. Mental illness has always, and will always be, a fascinating subject for horror movies as it probes into the unknown and Spider Baby makes best use of that fact.",1967-12-24,1967,Horror
Ichi the Killer,"As sadomasochistic yakuza enforcer Kakihara searches for his missing boss he comes across Ichi, a repressed and psychotic killer who may be able to inflict levels of pain that Kakihara has only dreamed of.",2001-12-22,2001,Horror
Magic,A ventriloquist is at the mercy of his vicious dummy while he tries to renew a romance with his high school sweetheart.,1978-11-08,1978,Horror
The Raven,"A brilliant but deranged neurosurgeon becomes obsessively fixated on a judge's daughter who in no way wants him.  With the help of an escaped criminal whose face he has surgically deformed, the mad man lures her, her father, and her fiance to his isolated castle-like home, where he has created a torture chamber with the intent of torturing them for having ""tortured"" him.",1935-07-08,1935,Horror
Mad Love,An insane surgeon's obsession with an actress leads him to replace her wounded pianist husband's hands with the hands of a knife murderer--hands which still have the urge to throw knives.,1935-07-12,1935,Horror
As the Gods Will,"Takahata Shun's day at high school begins just as boring as ever, but it doesn't end that way. He and his classmates find themselves forced to play children's games with deadly stakes. With no idea who is behind, the only thing Shun and other students can do is keep trying to win.",2014-11-15,2014,Horror
The Blue Elephant,"Psychiatrist Dr. Yehia returns to El-Abbaseya Hospital five years after the death of his family. His return coincide with the arrival of a new patient, Sherif, a friend from college, who is accused of murder.",2014-07-28,2014,Horror
[REC],A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007-04-10,2007,Horror
Paperhouse,"A young girl lost in the loneliness and boredom of reality finds solace in an ill boy, whom she can visit in a surreal dream world that she drew in her school composition book.",1988-09-10,1988,Horror
The Birch,"A bullied schoolboy takes drastic measures against his tormenter, summoning an ancient being in the woods using a spellbound book passed down through the generations of his family.",2016-06-14,2016,Horror
The Fly,"Industrialist François Delambre is called late at night by his sister-in-law, Helene Delambre, who tells him that she has just killed her husband, André. Reluctant at first, she eventually explains to the police that André invented a matter transportation apparatus and, while experimenting on himself, a fly entered the chamber during the matter transference.",1958-07-16,1958,Horror
The Red Queen Kills Seven Times,"In the film, an age-old family curse hits sisters Kitty and Franziska following the death of their grandfather Tobias.  Every hundred years, the legend goes, the bloodthirsty Red Queen returns and claims seven fresh victims.  Was Tobias just the first... and are Kitty and Franziska next?",1972-08-18,1972,Horror
Poltergeist,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",1982-06-04,1982,Horror
A Tale of Two Sisters,"A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house- all of which are connected to a dark past in the family's history.",2003-06-13,2003,Horror
The Golden Glove,A serial killer strikes fear in the hearts of residents of Hamburg during the early 1970s.,2019-02-21,2019,Horror
Rakka,"""Rakka"" is the story of broken humanity following the invasion of a technologically superior alien species. Bleak harrowing and unrelenting, the humans we meet must find enough courage to go on fighting.",2017-06-14,2017,Horror
Images,"Schizophrenic housewife, engulfed by terrorizing apparitions, kills off each, unknowing if these demons are merely figments of her hallucinatory imagination or part of reality.",1972-05-01,1972,Horror
Out of the Dark,"Stephen Chow plays an ""insane"" person who is not afraid of anything. He also appears to be parodying Leon (the professional). Carrying his trusty plant and bag of cling wrap and chocolates he helps a young girl to rid her building of a couple mean ghosts.",1995-07-06,1995,Horror
U Turn,A journalist who intents to write an article on traffic rule breakers gets dragged into a whirlpool of murder cases and deception.,2016-05-20,2016,Horror
Unedited Footage of a Bear,This is unedited raw footage of a bear I filmed with my cell phone. I'm not sure what kind of bear this is.,2014-12-16,2014,Horror
To Catch a Virgin Ghost,"Seok-tae runs away with a huge diamond of his gang and comes to Sisily, a peaceful village. Yang-e runs after him to get the diamond back and finds Seok-tae's trail in Sisily. But all the town people lie about everything. These people turn out to be scarier than a ghost!",2004-08-13,2004,Horror
Sleepy Hollow,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. But the locals believe the culprit to be none other than the ghost of the legendary Headless Horseman.,1999-11-18,1999,Horror
Hereditary,"When Ellen, the matriarch of the Graham family, passes away, her daughter’s family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",2018-06-07,2018,Horror
Cemetery Man,"A cemetery man has the unusual problem of the dead rising from the grave. Himself and his assistant must end these creatures' lives again after they are reborn. Everything is going well until ""She"" comes along and stirs things up a bit.",1994-03-25,1994,Horror
The Body Snatcher,"Edinburgh, 1831. Among those who undertake the illegal trade of grave robbery is Gray, ostensibly a cab driver. Formerly a medical student convicted of grave robbery, Gray holds a grudge against Dr. MacFarlane who had escaped detection and punishment.",1945-05-25,1945,Horror
Doctor Sleep,"Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.",2019-10-30,2019,Horror
Ringu,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger.",1998-01-31,1998,Horror
The Boxer's Omen,"After suffering an injury in the ring, embattled boxer Zhen Wei enlists the aid of his brother, Zhen Xiong, to avenge him and find the key to an omen which may release their family from an ancient curse. Black wizards, Taoist monks, rampaging monsters, spooky apparitions, beastly crocodile skeletons, flying human heads, a sexy female zombie with long talons, and demonic bats lie in store for our hero.",1983-10-23,1983,Horror
The Medusa Touch,"""I have a gift for disaster,"" says John Morlar (Richard Burton). Morlar is cursed with a unique telekinesis power that only seems to cause disaster.",1978-04-13,1978,Horror
The Dead Zone,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.",1983-10-21,1983,Horror
The Call of Cthulhu,"A dying professor leaves his great-nephew a collection of documents pertaining to the Cthulhu Cult. The nephew begins to learn why the study of the cult so fascinated his grandfather. Bit-by-bit he begins piecing together the dread implications of his grandfather's inquiries, and soon he takes on investigating the Cthulhu cult as a crusade of his own.",2005-01-01,2005,Horror
The Fall of the House of Usher,"A stranger called Allan goes to the House of Usher. He is the sole friend of Roderick Usher, who lives in the eerie house with his sick wife Madeleine. When she dies, Roderick does not accept her death, and in the dark night, Madeleine returns.",1928-10-04,1928,Horror
Aragami,"Two seriously wounded samurai find refuge from a storm at an isolated temple, the home of a swordsman and a mysterious young woman.  One samurai awakes to find that not only has his comrade died, but that his wounds have miraculously healed. He discovers that he has been given the power of immortality by the swordsman, a man once known as the legendary Miyamoto Musashi, who now lives an endless existence as Aragami, a ""god of battle"".",2003-03-27,2003,Horror
The Hands of Orlac,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he is horrified to learn they once belonged to a murderer.",1924-09-23,1924,Horror
The Mummy's Tomb,A high priest of Karnak travels to America with the living mummy Kharis (Lon Chaney Jr.) to kill all those who had desecrated the tomb of the Egyptian princess Ananka thirty years earlier.,1942-10-23,1942,Horror
Island of Lost Souls,"An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",1932-12-31,1932,Horror
Don't Hug Me I'm Scared 5,,2015-10-14,2015,Horror
Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",1984-06-07,1984,Horror
Bobby Yeah,"Bobby Yeah is a petty thug who lightens his miserable existence by brawling and stealing stuff. One day, he steals the favourite pet of some very dangerous individuals, and finds himself in deep trouble. He really should learn, but he just can't help it.",2011-07-04,2011,Horror
Strange Confession,"A scientist who is working on a cure for influenza is victimized by his unscrupulous boss, who releases the vaccine before it's ready, resulting in the death of the scientist's young son.",1945-10-05,1945,Horror
Raw,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.",2016-11-11,2016,Horror
Cat People,"Serbian fashion designer Irena Dubrovna and American marine engineer Oliver Reed meet in Central Park, fall in love and marry after a brief courtship; but Irena won't consummate the union for fear that she will turn into a panther compelled to kill her lover, pursuant to a belief harbored by her home village.",1942-12-05,1942,Horror
Don't Look Now,"Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife.",1973-12-03,1973,Horror
His Name Was Jason: 30 Years of Friday the 13th,"A retrospective documentary about the groundbreaking horror series, Friday the 13th, featuring interviews with cast and crew from the twelve films spanning 3 decades.",2009-02-03,2009,Horror
The Cat and the Canary,"Ten years after the death of millionaire Cyrus Norman, his will is to be read out to his six relatives, including Joyce Norman and Wally Campbell. Organized by Norman's lawyer, Crosby, the six meet at Norman's eerie New Orleans Gothic mansion. During the reading, the superstitious housekeeper declares that someone will be dead by midnight. Wally fears for Joyce when she is declared the sole inheritor, but all are alarmed when Crosby turns up dead.",1939-10-27,1939,Horror
Maya,"An artist realizes that the story that he is illustrating, about a ghost who was an inmate of an asylum in a forest, could be real. Meanwhile, an aspiring actress takes up a challenge to watch a horror film all alone in the theatre at night. How are these storylines connected?",2015-09-17,2015,Horror
Bugcrush,A teenager's infatuation with the new bad boy at school leads him onto a dark path.,2006-01-20,2006,Horror
The Changeling,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",1980-03-28,1980,Horror
Gozu,"Minami mistakenly kills a gangster associate of his named Brother. Almost as soon as the murder takes place, the body of the deceased man is gone, prompting Minami to conduct a search. While looking, he finds a mysterious isolated hotel where he decides to take a rest. Not only are the front desk clerks a bit strange, but even the ambiance feels unusual. Minami soon realizes he may have gotten more than he bargained for.",2003-07-11,2003,Horror
Carnival of Sinners,"Roland Brissot bought for a nickel a talisman that gives him love, fame and wealth. The talisman is a cut left hand, and it works perfectly. But of course there is nothing free in this world, and after one year the devil comes and asks for his due... Written by Yepok",1943-03-21,1943,Horror
Fright Night,"Nobody believes teenager Charley Brewster when he discovers that his suave new neighbor, Jerry Dandrige, is a vampire. So when the bloodsucker starts stalking Charley, he turns to has-been actor Peter Vincent, famed for portraying a ghoul hunter. Unfortunately for the would-be vampire slayers, Dandrige has set his sights on Charley's girlfriend.",1985-08-02,1985,Horror
Devilman Volume 3: Devilman Apocalypse,"Fear runs rampant throughout Tokyo with the revelation that demons in fact exist amongst us. Paranoia and the darker side of humanity boils onto the streets as people turn on one another, suspecting that anyone could in fact be a demon hiding in human clothing. Amidst the growing tensions, tragedy strikes Akira causing his mind to snap, retreating into his subconscious, allowing his Devilish alter-ego Amon to break free from Akira's cage of flesh and wreak havoc on both human and demons alike.",2000-04-24,2000,Horror
It's Gradiva Who Is Calling You,An English historian travels to Morocco to work on a study of the painter Delacroix. He hears of a rare series of engravings and embarks on a search for them that takes him through the mysterious streets of the ancient medina. He becomes obsessed with the figure of a beautiful blond woman dressed in white that he sees there. but it appears that she may have died years before.,2007-05-09,2007,Horror
Criminal Lovers,"After a perverted impulse drives them to kill, Alice and her boyfriend, Luc, drag the body into the woods, only to find themselves hopelessly lost – much like the fairy-tale plight of Hansel and Gretel. Starving and with no hope of being found, they chance upon a dilapidated cottage where a hulking man takes them prisoner and proceeds to feed Luc's sexual appetite.",1999-08-17,1999,Horror
Be My Cat: A Film for Anne,An aspiring Romanian filmmaker obsessed with Hollywood actress Anne Hathaway goes to shocking extremes to convince Anne to star in his upcoming film.,2015-03-01,2015,Horror
Guilty of Romance,A detective probes the brutal murder of a woman in a red light district while a housewife hides her double life as a prostitute from her husband.,2011-01-21,2011,Horror
The Fearless Vampire Killers,"A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress.",1967-02-01,1967,Horror
The Mad Magician,"Don Gallico is an inventor of stage magic effects who aspires to become a star in his own right. Just before his first performance his act is shut down by capricious manager Ross Ormond who wants Gallico's brilliant buzz saw effect for the act of The Great Rinaldi, an established star. With this defeat, and the humiliation of having already lost his wife Claire to Ormond, Gallico decides it is time to take matters into his own hands.",1954-05-19,1954,Horror
The American Nightmare,"An examination into the nature of 1960's-70's horror films, the involved artists, and how they reflected contemporary society.",2000-09-11,2000,Horror
The Big Shave,"This short film is a metaphor for the Vietnam War. A man walks into a meticulously clean and sterile bathroom, concentrating on the polished porcelain and shiny metal motif. He then proceeds to shave. When his face is clean, however, he only continues to shave until he pierces through his skin. Blood covers him and falls around him, the red contrasting the perfect spotlessness of the bathroom.",1967-12-29,1967,Horror
Baxter,"A white Bull Terrier named Baxter is given to an elderly woman by her daughter. As time passes, the dog develops aggressive and murderous behavior in order to be adopted by another family.",1989-01-18,1989,Horror
Audition,"Seven years after the death of his wife, company executive Aoyama is invited to sit in on auditions for an actress. Leafing through the resumés in advance, his eye is caught by Yamazaki Asami, a striking young woman with ballet training.",2000-03-03,2000,Horror
Dr. Jekyll and Mr. Hyde,A doctor's research into the roots of evil turns him into a hideous depraved fiend.,1920-03-18,1920,Horror
Treevenge,"Treevenge details the experiences and horrifying reality of the lives of Christmas trees. Clearly, for trees, Christmas isn’t the exciting “peace on earth” that is experienced by most. After being hacked down, and shipped away from their homes, they quickly become strung up, screwed into an upright position for all to see, exposed in a humiliation of garish decorations. But this Christmas will be different, this Christmas the trees have had enough, this Christmas the trees will fight back. Treevenge could be a short film about the end of days for Christmas trees, or perhaps, the end of humanity?",2008-07-07,2008,Horror
Gamera 3: Revenge of Iris,"This final installment of the recent Gamera trilogy begins with schoolgirl Ayana discovering a large egg in a cave that, according to legend, houses demons. The egg hatches into a small monster, which Ayana decides to raise and quickly develops a psychic bond with. As Ayana's monster, named Iris, grows to adulthood, the flying turtle Gamera begins to take an interest in this new potential threat. Who will be the victor in the final battle, and how much of Japan will be left standing at the end?",1999-03-06,1999,Horror
The Hitcher,"On a stormy night, young Jim, who transports a luxury car from Chicago to California to deliver it to its owner, feeling tired and sleepy, picks up a mysterious hitchhiker, who has appeared out of nowhere, thinking that a good conversation will help him not to fall asleep. He will have enough time to deeply regret such an unmeditated decision.",1986-02-21,1986,Horror
Blind Beast,"A blind sculptor and his mother kidnap a young woman and use her as a model. In the darkness of an abandoned warehouse, she suffers at the hands of the artist, eventually losing both her sight and her mind as whips give way to knives and knives give way to meat cleavers.",1969-01-25,1969,Horror
The Old Dark House,"Seeking shelter from a relentless rainstorm and landslides in a remote region of Wales, five travelers are admitted to a large foreboding old house that belongs to the extremely strange Femm family. Sepulchral Horace Femm and his obsessive, inhospitable sister Rebecca are the group's peculiar hosts. The house also holds surprises - and a brutish mute manservant named Morgan.",1932-10-20,1932,Horror
Day of the Dead,"Trapped in a missile silo, a small team of scientists, civilians and trigger-happy soldiers battle desperately to ensure the survival of the human race. However, the tension inside the base is reaching a breaking point, and the zombies are gathering outside.",1985-07-19,1985,Horror
Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",1986-08-14,1986,Horror
"Kill Baby, Kill",An 18th century European village is haunted by the ghost of a murderous little girl.,1966-07-08,1966,Horror
Viy,A young priest is ordered to preside over the wake of a witch in the church of a remote village. This means spending three nights alone with the corpse with only his faith to protect him.,1967-11-27,1967,Horror
Taste of Fear,"A wheelchair-bound young girl returns to her father's estate after ten years, and although she's told he's away, she keeps seeing his dead body on the estate.",1961-06-05,1961,Horror
Neo Tokyo,"Three shorts directed by the same names that brought you Metropolis, Ninja Scroll, and Akira. It begins with “Labyrinth Labyrinthos”, a story of a maze in a child's mind, directed by Rintaro. Next Yoshiaki Kawajiri gives us “The Running Man”. This is a futuristic formula one race is set on a deadly track. Lastly Katsuhiro Ôtomo describes a struggle to shut down an entirely automated facility in “Construction Cancellation Order“.",1989-04-15,1989,Horror
Witchcraft,"When her grave is disturbed by modern-day land developers, a 300-year-old witch is accidentally resurrected and terrorizes an English village.",1964-03-01,1964,Horror
The California Kid,A sadistic small-town sheriff has a habit of deliberately forcing speeders to their deaths on the mountain roads leading into town. The brother of one of the victims rolls into town in his hot rod to investigate his brother's death.,1974-09-25,1974,Horror
Whistle and I'll Come to You,"A university professor, confident that everything which occurs in life has a rational explanation, finds his beliefs severely challenged when, during a vacation to a remote coastal village in Norfolk, he blows through an ancient whistle discovered on a beach, awakening horrors beyond human understanding.",1968-05-07,1968,Horror
Rocky Horror Show Live,"The Rocky Horror Show was born at the Royal Court's tiny Theatre Upstairs on June 16, 1973, and went on to become an international stage smash hit and a major motion picture.",2015-11-17,2015,Horror
The Spider Labyrinth,"A young professor travels to Budapest to locate a lost colleague. Once there, he gets tangled up in a supernatural mystery.",1988-08-25,1988,Horror
The Body Tree,"A group of Americans travel to Siberia where a friend died stabbed. Soon, they will discover their hosts are involved in the occult.",2017-11-13,2017,Horror
Us,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",2019-03-14,2019,Horror
The Curse of Frankenstein,Baron Victor Frankenstein has discovered life's secret and unleashed a blood-curdling chain of events resulting from his creation: a cursed creature with a horrid face — and a tendency to kill.,1957-06-25,1957,Horror
Sleep Tight,"César, an unhappy concierge, maintains a peculiar relationship with the very diverse inhabitants of the upper-class apartment building where he works in Barcelona.",2011-10-14,2011,Horror
The Uninvited,A brother and sister move into an old seaside house they find abandoned for many years on the English coast. Their original enchantment with the house diminishes as they hear stories of the previous owners and meet their daughter (now a young woman) who now lives as a neighbor with her grandfather. Also heard are unexplained sounds during the night. It becomes obvious that the house is haunted.,1944-02-18,1944,Horror
